Image Name	Laplacian	Tenengrad	Brenner	FFT
0001.jpg	19.95500108420975	1421.3957904772185	72582742	81897885568.77957
0002.jpg	19.223039447365615	1398.2286733218048	70661978	81138562637.49327
0003.jpg	15.636484938886452	1210.2705406653797	66636030	77001123911.51114
0004.jpg	13.723954924473842	1116.0882911198644	54059154	72454533065.18437
0005.jpg	11.050455910900627	865.4006163642672	47600276	62676603511.95908
0006.jpg	14.41257977431112	1149.8129320801036	58227758	73270774833.3175
0009.jpg	13.234577761556922	1088.727324109364	62555482	73574212276.1654
0014.jpg	12.821941516956832	992.8924728207348	45963660	67838138696.121254
0015.jpg	14.40441813702214	1087.231053209593	47212086	71447736333.8361
0016.jpg	15.015151285304263	1164.9588289554729	61436158	76470821700.3028
0017.jpg	11.409129339120032	873.9265133423092	40984306	63336894762.581215
0018.jpg	15.0031420467845	1145.6551921107978	54652128	75297983771.45752
0019.jpg	14.95039035186178	1129.7127281237076	54501426	75355065946.95885
0020.jpg	10.911059116735426	927.1750249890096	47105234	70234348725.12192
0023.jpg	12.440164543126365	1005.8726685532644	50593840	73297490008.43942
0026.jpg	11.900321759634654	916.9301403328687	43025444	67177912010.87953
0028.jpg	18.488668564904405	1401.4943739512787	58076290	84680397139.89474
0029.jpg	13.112305823811717	1160.191239704046	59001156	79824460473.39961
0030.jpg	14.608282365491451	1193.362882490239	52876010	77895870649.20358
0031.jpg	11.750900487019564	1073.0865099916598	62697506	77849228929.4629
0032.jpg	9.976957143105029	790.3214632772684	41074454	58703499958.31263
0033.jpg	13.391656552033488	1129.174231400921	62250418	76450249049.1429
0034.jpg	22.377038480638447	1533.78242939877	74843430	86767780132.24062
0035.jpg	13.304801433013829	1127.3112779785815	62005878	75974729291.72334
0036.jpg	17.859929528230158	1417.71156290901	73466038	83837158018.52428
0037.jpg	11.875769139278882	844.3047866584044	50785548	63374131192.53664
0038.jpg	11.220761205143068	999.5343205562478	66397940	72618091048.38591
0039.jpg	14.037187821183837	1155.6953152634485	65064800	76161084656.58743
0040.jpg	13.457066788121022	1105.0273359668572	59743718	74284783382.53082
0041.jpg	16.466270812460248	1146.8885780035862	54229664	76339990580.6352
0044.jpg	11.979005224133632	1094.791933298533	69652842	76491440554.25435
0046.jpg	15.953719715599105	1252.0340644368987	56417814	79831893929.36078
0047.jpg	10.412567515386838	867.0783935563352	50713816	66231744208.88892
0051.jpg	12.889695130383974	1150.9925017319829	63705374	79004597511.72704
0052.jpg	16.24554497252015	1373.36110649569	79790522	85282043782.13936
0053.jpg	12.420484597171024	1162.7877577580498	67035884	79100891252.99846
0054.jpg	13.327553796408187	1142.6702483725371	60344332	78071595684.00182
0055.jpg	15.907357667696775	1370.6227435234234	82415200	83322221390.26668
0056.jpg	10.698784234564872	889.3749107714244	48231036	63585349318.404106
0057.jpg	18.1404957679583	1428.9069166748784	80774150	84434983906.75916
0058.jpg	15.679221869951704	1291.9448016787303	67740718	79507009623.88596
0060.jpg	12.306733465066754	1116.312387223908	64571378	74716534510.71326
0061.jpg	19.96417070969402	1517.8496602584032	78530078	86585757488.83351
0063.jpg	12.513476285470784	1121.008958229695	75004738	76148822459.8447
0065.jpg	20.46621957811664	1553.035638966753	94434942	87527342556.23776
0066.jpg	13.945492343012376	1241.7572895097746	63912856	78213690593.02669
0067.jpg	14.321326284160431	1262.2974462816117	81721202	80293733868.50168
0068.jpg	16.725788691503762	1423.240258731253	68398174	82736156482.8073
0069.jpg	11.118739787956414	1072.0460198452115	74373812	76514101962.46597
0070.jpg	17.049278576621447	1404.3459335371854	82776040	83733672487.44272
0074.jpg	16.301352968887056	1287.0200093632875	73477594	79056814089.3706
0076.jpg	14.943823653054306	1253.3065958339005	70019532	78094258895.64427
0078.jpg	18.665348985901108	1401.1659138765351	68115588	81543990483.13158
0079.jpg	15.161121138687005	1233.50944160723	60207904	77796390612.63773
0080.jpg	18.938384975563014	1448.318043010271	77972338	84941038164.83025
0082.jpg	17.207680913443006	1265.405825146926	80650414	81005749544.28755
0083.jpg	14.579431613662845	1198.788035977162	63124182	76581146483.72943
0086.jpg	11.539394485290664	965.24543270522	70105244	73552754167.8644
0089.jpg	12.915266748206816	1070.868452569589	65274602	74713431678.13165
0091.jpg	16.57683286230935	1203.9206512080182	65663434	77956354653.55716
0092.jpg	17.06845378506256	1225.2661281002431	63745688	78310244818.4817
0093.jpg	10.029153389199353	882.6971935554838	54884710	69255628382.43008
0094.jpg	11.531022363969626	958.9797973107404	49991502	70954115754.75554
0096.jpg	13.07815301031147	1074.2534573607925	52684248	72980019157.72047
0097.jpg	16.63213585783696	1259.4564106904754	55067586	76764047427.4254
0099.jpg	13.079139527497473	1065.6336948637522	54369938	70118443468.90634
0101.jpg	10.558363831336523	974.8380743481102	57866640	69880710989.12991
0102.jpg	10.122886827477442	923.0936477768578	55594744	67203087588.71254
0103.jpg	14.80295936851324	1169.923467206143	64597884	75854730579.54466
0106.jpg	11.027850945721468	968.3954021975304	53670110	71713155046.39627
0108.jpg	16.336645751222136	1222.0700769084272	57007736	77253039973.39146
0110.jpg	11.327609631630551	908.4022710292392	58152990	69149226061.9366
0111.jpg	14.947110804519657	1174.944024493299	65839906	76395270967.65332
0112.jpg	14.393874077487595	1194.1271664184774	77823018	78625541237.70332
0115.jpg	19.17489162743454	1467.0653262732626	102506692	86044045090.61055
0116.jpg	17.898979146999576	1392.0475965036546	72117316	81253912482.0383
0117.jpg	10.879645691433518	1030.6005826574333	68775688	73297563954.79381
0118.jpg	16.170791786994542	1341.096263437188	113834954	82846787722.95723
0120.jpg	20.4101236404093	1407.9204393508005	118592652	84137844274.57169
0121.jpg	10.3463291975417	887.877325405299	79037774	71378043683.60603
0122.jpg	10.529817959692492	816.0580689114433	74847916	69432316964.402
0123.jpg	14.240835954521936	1090.3884169194785	61439748	73580924147.32603
0125.jpg	10.446580845030482	896.6536541425912	51196656	67730600106.215385
0126.jpg	11.096582597841088	920.7556163135569	46052744	68262437137.168495
0127.jpg	14.385479842096046	1089.3967728836783	63822442	74593854596.01457
0130.jpg	15.611480280431348	1168.0945684542348	57710732	78103108128.84427
0131.jpg	10.740326523041766	986.9217166294518	51865900	73881247091.19682
0132.jpg	12.439889560756672	1099.3930240626978	58899968	76026457018.79321
0134.jpg	18.561521167701315	1439.0975333283834	72221922	87312197695.56534
0136.jpg	14.107657009345314	1286.9050475232552	73873268	83007653681.73091
