,Laplacian,Tenengrad,Brenner,FFT
count,34.0,34.0,34.0,34.0
mean,9.594801552192845,822.7652153664067,47764370.823529415,64064155319.22476
std,3.9336793715446854,283.26676352408674,10191281.517872507,9436252628.047686
min,3.1110924395473685,305.6271045015777,27320692.0,47119478414.186356
25%,6.587300354670962,609.9970540953365,40932945.5,56743928720.01927
50%,9.055577708240644,779.024595846672,47669157.0,64861514376.82379
75%,12.72966846763494,1036.8436014800457,54448086.5,70487367105.93701
max,17.350708700804116,1395.1309364001377,77220838.0,81215077736.711
